Task ID,Supplier ID,Cost
05/05/2021,S48,0.317496196
05/05/2021,S60,0.318190918
05/05/2021,S64,0.318498681
05/05/2021,S47,0.322883639
05/05/2021,S15,0.324811268
05/05/2021,S57,0.325176303
05/05/2021,S29,0.325411246
05/05/2021,S20,0.325602605
05/05/2021,S41,0.328147253
05/05/2021,S52,0.328406401
05/05/2021,S25,0.330970842
13/05/2021,S9,0.301240457
13/05/2021,S51,0.305254208
13/05/2021,S11,0.307483917
13/05/2021,S53,0.310079398
13/05/2021,S33,0.31044867
13/05/2021,S64,0.311623304
13/05/2021,S14,0.313127609
13/05/2021,S55,0.314293217
13/05/2021,S27,0.314706544
13/05/2021,S48,0.315632399
13/05/2021,S6,0.316547624
13/05/2021,S10,0.317286218
13/05/2021,S15,0.317676386
13/05/2021,S40,0.318830475
13/05/2021,S26,0.321177974
13/05/2021,S54,0.321265234
13/05/2021,S34,0.322265134
13/05/2021,S1,0.322823964
13/05/2021,S29,0.324541157
13/05/2021,S18,0.326809476
20/05/2021,S61,0.333051662
20/05/2021,S14,0.338045138
20/05/2021,S55,0.33993954
20/05/2021,S15,0.343257847
20/05/2021,S10,0.343639334
20/05/2021,S60,0.345467165
20/05/2021,S4,0.346400335
20/05/2021,S18,0.347543043
20/05/2021,S27,0.349232924
20/05/2021,S52,0.350483577
20/05/2021,S64,0.351648422
20/05/2021,S54,0.351968513
20/05/2021,S7,0.353414206
20/05/2021,S16,0.3539269
20/05/2021,S11,0.354569128
20/05/2021,S56,0.357049252
20/05/2021,S46,0.357379551
20/05/2021,S35,0.358368437
20/05/2021,S29,0.358683215
20/05/2021,S33,0.358946344
24/05/2021,S37,0.35062635
24/05/2021,S29,0.359923393
24/05/2021,S52,0.360179814
24/05/2021,S33,0.363010367
24/05/2021,S10,0.36389702
24/05/2021,S16,0.367483106
24/05/2021,S56,0.367871054
24/05/2021,S34,0.369588135
24/05/2021,S4,0.370247693
24/05/2021,S57,0.370752569
24/05/2021,S64,0.37107958
24/05/2021,S22,0.371352258
24/05/2021,S27,0.373962315
24/05/2021,S8,0.374858627
24/05/2021,S11,0.375347673
24/05/2021,S24,0.3760649
24/05/2021,S54,0.376747547
24/05/2021,S55,0.376761649
24/05/2021,S15,0.377431929
24/05/2021,S40,0.378959462
31/05/2021,S48,0.358072655
31/05/2021,S55,0.361971513
31/05/2021,S33,0.370564201
31/05/2021,S11,0.370838979
31/05/2021,S15,0.372388456
31/05/2021,S14,0.37375274
31/05/2021,S10,0.375379617
31/05/2021,S64,0.37613151
31/05/2021,S24,0.378296682
31/05/2021,S27,0.379241576
31/05/2021,S39,0.380943728
31/05/2021,S8,0.381087052
31/05/2021,S28,0.381968408
31/05/2021,S19,0.383374555
31/05/2021,S34,0.383711209
31/05/2021,S35,0.384940264
31/05/2021,S56,0.387639262
31/05/2021,S46,0.387833722
31/05/2021,S57,0.389696173
31/05/2021,S4,0.390139113
14/06/2021,S26,0.357362728
14/06/2021,S15,0.36023116
14/06/2021,S19,0.367906548
14/06/2021,S33,0.368637323
